time/episodes,time/total timesteps,time/fps,rollout/success rate,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates
52,4873,6,0.09615384615384616,777,93.71153846153847,-6480.098669019231,7156.701751708984,0.001,591.64072265625,4760
53,4973,6,0.09433962264150944,794,93.83018867924528,-6445.696789698114,5882.783044433594,0.001,581.0990661621094,4860
54,5073,6,0.09259259259259259,821,93.94444444444444,-6525.229604481482,8049.975299072265,0.001,578.5304382324218,4960
55,5173,6,0.09090909090909091,843,94.05454545454545,-6563.235246672728,6022.215972900391,0.001,600.3657592773437,5060
56,5273,6,0.08928571428571429,857,94.16071428571429,-6581.891561232143,9622.575982666016,0.001,595.4178833007812,5160
57,5362,6,0.10526315789473684,876,94.0701754385965,-6600.211489298246,9011.239819335937,0.001,608.6351013183594,5260
58,5462,6,0.10344827586206896,895,94.17241379310344,-6548.558458258622,7458.384228515625,0.001,614.1830200195312,5360
59,5562,6,0.1016949152542373,914,94.27118644067797,-6549.012212406781,9414.281579589844,0.001,606.8916320800781,5460
60,5662,6,0.1,936,94.36666666666666,-6481.351367933335,9035.77275390625,0.001,625.1058288574219,5560
61,5762,6,0.09836065573770492,949,94.45901639344262,-6390.523759950821,9848.130108642577,0.001,611.610986328125,5660
62,5862,6,0.0967741935483871,965,94.54838709677419,-6421.481448935485,7058.146032714843,0.001,628.5586608886719,5760
63,5962,6,0.09523809523809523,985,94.63492063492063,-6340.755889968254,7011.000793457031,0.001,636.2896545410156,5860
64,6062,6,0.09375,1005,94.71875,-6270.079374640625,8010.138110351562,0.001,628.8098022460938,5960
65,6162,6,0.09230769230769231,1026,94.8,-6248.870306015385,11200.00343017578,0.001,643.4899291992188,6060
66,6209,6,0.10606060606060606,1033,94.07575757575758,-6217.636572530303,8122.016522216797,0.001,642.9989990234375,6100
67,6309,6,0.1044776119402985,1049,94.16417910447761,-6267.666741044775,13703.167175292969,0.001,643.2891967773437,6200
68,6409,5,0.10294117647058823,1074,94.25,-6264.922655411764,10902.466271972657,0.001,658.8587585449219,6300
69,6410,5,0.11594202898550725,1075,92.89855072463769,-6173.981747362318,,,,
70,6510,5,0.11428571428571428,1092,93.0,-6133.925433642857,9040.11326904297,0.001,658.1234130859375,6400
71,6511,5,0.1267605633802817,1093,91.70422535211267,-6047.391272605633,,,,
