rollout/success rate,train/n_updates,time/time_elapsed,time/episodes,rollout/ep_len_mean,time/total timesteps,rollout/ep_rew_mean,train/actor_loss,train/learning_rate,time/fps,train/critic_loss
0.23,208700,1272,5672,85.81,208826,-395.59039918999997,986.8715881347656,0.001,164,22255.946484375
0.23,208800,1287,5673,85.81,208926,-398.36367763999993,1009.6104248046875,0.001,162,21607.3224609375
0.23,208900,1301,5674,85.81,209026,-399.65524245,976.1639404296875,0.001,160,23018.95107421875
0.23,209000,1317,5675,85.81,209126,-406.16724153,1027.3174133300781,0.001,158,24320.20068359375
0.22,209100,1330,5676,86.08,209226,-408.27816587000007,999.4567321777344,0.001,157,25675.2515625
0.22,209200,1342,5677,86.08,209326,-409.22347526000004,1002.0684814453125,0.001,155,22163.348388671875
0.23,209240,1348,5678,85.54,209372,-405.54818278000005,988.6683959960938,0.001,155,27568.086181640625
0.23,209340,1362,5679,85.54,209472,-413.21633933000004,1017.2658752441406,0.001,153,22512.024487304687
0.22,209440,1377,5680,86.23,209572,-416.82810899000003,1015.7499084472656,0.001,152,23250.7263671875
0.21,209540,1392,5681,86.83,209672,-420.5688894900002,1020.4839416503906,0.001,150,22064.97214355469
0.21,209640,1405,5682,86.83,209772,-419.50326981000006,1038.3118103027343,0.001,149,25307.14150390625
0.22,209680,1410,5683,86.14,209803,-417.41120213,1012.4914855957031,0.001,148,32682.290087890626
0.22,209780,1424,5684,86.14,209903,-417.49253622000003,1002.5088745117188,0.001,147,22158.95849609375
0.23,209820,1432,5685,85.65,209954,-409.29691161000005,1026.119696044922,0.001,146,18219.677514648436
0.23,209920,1445,5686,85.65,210054,-407.80534385000004,1025.3742980957031,0.001,145,25587.942529296874
0.23,209960,1449,5687,85.51,210082,-407.41709983,1052.8841430664063,0.001,144,19169.9255859375
0.22,210060,1461,5688,85.83,210182,-413.7316487,1030.0145446777344,0.001,143,23984.6453125
0.22,210160,1475,5689,85.83,210282,-408.34433339000003,1028.2103698730468,0.001,142,21703.64228515625
0.21,210260,1491,5690,86.67,210382,-411.95047553000006,1027.1736267089843,0.001,141,27689.369482421876
0.22,210280,1495,5691,86.01,210416,-404.8682829300001,1029.2619750976562,0.001,140,30089.483666992186
0.22,210380,1509,5692,86.01,210516,-405.75292383,1046.4502990722656,0.001,139,22479.659130859374
0.22,210480,1524,5693,86.01,210616,-405.2827922899999,1049.7714477539062,0.001,138,24260.53037109375
0.22,210580,1538,5694,86.01,210716,-407.6085539099999,1058.9470581054688,0.001,136,27735.33212890625
0.21,210680,1552,5695,86.94,210816,-413.85651843999995,1062.7278564453125,0.001,135,26238.346044921876
0.21,210780,1567,5696,86.94,210916,-416.4981999799999,1059.0690063476563,0.001,134,26184.11806640625
0.2,210880,1581,5697,87.8,211016,-423.53210999999993,1068.6688720703125,0.001,133,23210.00380859375
0.19,210980,1596,5698,88.34,211116,-424.90043330000003,1067.8245849609375,0.001,132,25421.434765625
0.19,211080,1610,5699,88.34,211216,-424.20731342999994,1079.8110229492188,0.001,131,33650.60048828125
