rollout/success rate,time/episodes,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total timesteps,train/critic_loss,train/actor_loss,train/n_updates,train/learning_rate
0.5,12783,10210,-228.27442477,66.18,103,1057202,10452.556539916992,629.3169738769532,1057100,0.001
0.51,12784,10214,-229.01290108999999,65.41,103,1057225,9775.698524475098,636.6500549316406,1057120,0.001
0.52,12785,10224,-220.38842825,64.87,103,1057271,7665.718444824219,633.0045349121094,1057160,0.001
0.53,12786,10226,-217.5263277,63.96,103,1057280,,,,
0.53,12787,10231,-217.61414549,64.2,103,1057305,10740.143292236327,633.3887634277344,1057200,0.001
0.53,12788,10251,-216.28670603999996,64.2,103,1057405,7142.810279846191,636.7638244628906,1057300,0.001
0.52,12789,10267,-241.56837914999997,64.44,102,1057505,9688.716610717773,638.2737915039063,1057400,0.001
0.51,12790,10281,-249.04295255,65.06,102,1057605,9042.314862060546,631.1497619628906,1057500,0.001
0.5,12791,10296,-250.09405272,65.71,102,1057705,7765.714352416992,630.747998046875,1057600,0.001
0.5,12792,10314,-250.42128534000003,65.71,102,1057805,8526.11703338623,639.309619140625,1057700,0.001
0.51,12793,10327,-248.89270808,65.28,102,1057862,9741.884582519531,625.0449951171875,1057760,0.001
0.52,12794,10329,-243.76362168999995,64.31,102,1057865,,,,
0.53,12795,10333,-240.18581223,63.51,102,1057885,7475.008071899414,638.7677490234375,1057780,0.001
0.52,12796,10347,-242.95278763999994,63.98,102,1057985,8104.614154052734,635.6924194335937,1057880,0.001
0.52,12797,10352,-242.62517425,64.06,102,1058008,10457.794270324706,637.407666015625,1057900,0.001
0.52,12798,10371,-246.39347045,64.06,102,1058108,7822.206311035156,639.7807922363281,1058000,0.001
0.53,12799,10393,-243.22331161999998,63.83,101,1058185,9089.980674743652,638.3811889648438,1058080,0.001
0.53,12800,10408,-241.06307185999998,63.83,101,1058285,9441.397073364258,627.8005981445312,1058180,0.001
0.54,12801,10412,-237.95076901999997,63.06,101,1058308,7421.125782775879,628.6391662597656,1058200,0.001
0.54,12802,10426,-240.42277137000002,63.38,101,1058400,9294.521002197265,635.4935119628906,1058280,0.001
0.54,12803,10429,-241.01013233999998,62.73,101,1058412,6719.94437713623,642.3146179199218,1058300,0.001
0.53,12804,10444,-246.02682188,63.46,101,1058512,7490.350456237793,642.7447937011718,1058400,0.001
0.54,12805,10449,-239.46124557999997,62.68,101,1058534,6510.127139282226,636.7573852539062,1058420,0.001
0.55,12806,10452,-229.32715767999994,61.78,101,1058544,10882.905278015136,637.6542907714844,1058440,0.001
0.55,12807,10453,-228.88241611999993,61.43,101,1058551,,,,
0.56,12808,10460,-224.79597686999995,60.79,101,1058587,8311.006369018554,636.7746826171875,1058480,0.001
0.55,12809,10474,-235.35510358999997,61.46,101,1058687,6142.874844360352,633.6836181640625,1058580,0.001
0.55,12810,10475,-235.26128697999997,61.43,101,1058690,,,,
0.54,12811,10491,-243.93828805,62.2,100,1058790,9653.351599121093,635.5070983886719,1058680,0.001
0.54,12812,10494,-243.87521984000003,62.24,100,1058800,,,,
0.55,12813,10502,-238.78990804,61.62,100,1058838,11727.053311157226,636.0298950195313,1058720,0.001
0.56,12814,10510,-238.26500701,61.23,100,1058899,7538.111575317383,636.7188293457032,1058780,0.001
0.57,12815,10512,-232.48222183,60.3,100,1058906,11406.176193237305,635.8258972167969,1058800,0.001
0.57,12816,10517,-232.81168848,60.44,100,1058927,7904.89998626709,634.2936401367188,1058820,0.001
0.57,12817,10527,-232.83627047,60.93,100,1058983,10713.177493286134,639.7246765136719,1058880,0.001
0.57,12818,10529,-232.38838657999997,60.31,100,1058991,,,,
0.56,12819,10547,-235.20252302999995,61.2,100,1059091,10204.134567260742,634.3990844726562,1058980,0.001
0.57,12820,10550,-233.35205208999997,60.31,100,1059102,10650.818960571289,634.8926879882813,1059000,0.001
0.56,12821,10568,-235.39770513999997,61.3,100,1059202,9555.305635070801,634.5781616210937,1059100,0.001
0.55,12822,10585,-239.06856397999996,62.06,100,1059302,9610.438052368165,639.9527709960937,1059200,0.001
0.56,12823,10588,-236.02123182,61.24,100,1059320,,,,
0.56,12824,10603,-232.7384886,61.24,99,1059420,12252.814685058594,629.7241088867188,1059300,0.001
0.56,12825,10621,-230.8889987,61.24,99,1059520,11227.689642333984,637.177294921875,1059400,0.001
0.57,12826,10625,-229.63779146000005,60.48,99,1059544,7849.277432250977,636.9551879882813,1059440,0.001
0.56,12827,10642,-234.43837475,61.03,99,1059644,3550.7389373779297,637.3181274414062,1059540,0.001
0.56,12828,10659,-237.05215944000003,61.03,99,1059744,10666.738226318359,632.7327087402343,1059640,0.001
0.56,12829,10662,-237.76747808,61.0,99,1059762,11093.243408203125,632.6567443847656,1059660,0.001
0.56,12830,10678,-236.386066,61.0,99,1059862,10205.469885253906,636.7910034179688,1059760,0.001
0.57,12831,10680,-232.95635362000002,60.04,99,1059866,,,,
0.58,12832,10695,-231.42073842,59.95,99,1059957,13426.168948364259,633.5328796386718,1059840,0.001
0.58,12833,10700,-232.82299349999997,59.66,99,1059989,7894.521643066406,638.4567504882813,1059880,0.001
0.58,12834,10715,-232.85293774000002,59.66,98,1060089,7361.681585693359,637.4876037597656,1059980,0.001
0.58,12835,10732,-227.43890567000003,59.66,98,1060189,7868.09578704834,636.9272277832031,1060080,0.001
0.57,12836,10749,-232.39382739,60.62,98,1060289,7744.105523681641,636.7801025390625,1060180,0.001
0.57,12837,10766,-233.14308487999998,60.62,98,1060389,8272.36792755127,632.2642272949219,1060280,0.001
0.57,12838,10768,-233.29347830999998,60.63,98,1060394,,,,
0.56,12839,10782,-234.36082349999992,61.55,98,1060494,5899.832025146485,643.5420654296875,1060380,0.001
0.56,12840,10785,-234.77336390999997,61.62,98,1060511,6194.48080291748,638.2221313476563,1060400,0.001
0.56,12841,10800,-216.68615284999993,61.62,98,1060611,8364.505740356446,631.1761352539063,1060500,0.001
0.57,12842,10801,-214.64946580999992,60.68,98,1060617,,,,
0.57,12843,10814,-202.36440722999998,60.68,98,1060717,4878.952754211426,641.3877258300781,1060600,0.001
0.58,12844,10816,-202.06005840999998,59.76,98,1060725,10552.596697998048,633.2551879882812,1060620,0.001
0.57,12845,10832,-207.45350277,60.4,97,1060825,8385.932206726075,634.2419616699219,1060720,0.001
0.57,12846,10837,-207.46829598,60.47,97,1060842,11852.905899047852,633.9523559570313,1060740,0.001
0.56,12847,10855,-205.73153857999998,61.07,97,1060942,8431.471966552734,630.5429504394531,1060840,0.001
0.56,12848,10857,-206.08392282999998,60.91,97,1060950,,,,
0.57,12849,10871,-204.63622852,60.72,97,1061031,7487.219593811035,634.9296936035156,1060920,0.001
0.57,12850,10875,-204.46135041000002,60.76,97,1061059,7173.531175231934,634.855810546875,1060940,0.001
0.56,12851,10891,-212.69527635000003,61.64,97,1061159,7273.622369384766,635.9602111816406,1061040,0.001
0.55,12852,10905,-217.12324329999998,61.95,97,1061259,7185.219107055664,640.4516662597656,1061140,0.001
0.56,12853,10907,-214.84402337000003,61.06,97,1061270,5159.380619812012,638.3920532226563,1061160,0.001
0.55,12854,10923,-216.62386882999996,61.31,97,1061370,7456.984349060059,639.8708740234375,1061260,0.001
0.56,12855,10937,-212.07408078999998,61.04,97,1061443,7984.395826721191,634.8209228515625,1061340,0.001
0.55,12856,10952,-218.31249566999995,61.94,96,1061543,12359.390942382812,629.4811340332031,1061440,0.001
0.54,12857,10968,-223.92515269,61.97,96,1061643,8676.342211914063,638.8415222167969,1061540,0.001
0.55,12858,10977,-219.36637369,61.52,96,1061698,7152.520579528808,638.6529846191406,1061580,0.001
0.55,12859,10990,-218.90065832,62.1,96,1061764,6857.8095703125,643.7265930175781,1061660,0.001
0.54,12860,11007,-222.33742606000007,62.75,96,1061864,10284.05539855957,641.6555603027343,1061760,0.001
0.55,12861,11009,-221.10003657000004,61.8,96,1061869,,,,
0.54,12862,11028,-224.27733323000004,61.95,96,1061969,8570.300991821288,637.3612976074219,1061860,0.001
0.55,12863,11031,-213.80474090000004,61.11,96,1061985,12019.267704772948,628.4780578613281,1061880,0.001
0.55,12864,11038,-213.30712098,60.88,96,1062027,5993.429783630371,635.3976196289062,1061920,0.001
0.55,12865,11051,-215.85279795,61.46,96,1062110,8251.13427734375,644.4823913574219,1062000,0.001
0.56,12866,11054,-211.03236368999998,60.56,96,1062120,,,,
0.56,12867,11067,-212.86446709999996,60.56,95,1062220,11524.469195556641,630.751123046875,1062100,0.001
0.55,12868,11088,-217.37823598,61.51,95,1062320,7827.011569213867,632.7848388671875,1062200,0.001
0.56,12869,11097,-215.88754962,60.91,95,1062360,9053.2421875,630.354638671875,1062240,0.001
0.57,12870,11104,-212.44529767,60.29,95,1062398,10710.260467529297,642.0713073730469,1062280,0.001
0.56,12871,11122,-222.94870601999995,61.18,95,1062498,9869.25937347412,637.3852172851563,1062380,0.001
0.56,12872,11134,-215.43691489999998,61.18,95,1062598,7881.853146362305,639.5180236816407,1062480,0.001
0.56,12873,11137,-215.33116408,61.22,95,1062610,10130.736859130859,631.937646484375,1062500,0.001
0.57,12874,11143,-209.65005496999996,60.43,95,1062631,9079.94443206787,642.4443054199219,1062520,0.001
0.56,12875,11162,-212.12083869999995,60.65,95,1062731,8022.626800537109,640.8943725585938,1062620,0.001
0.56,12876,11164,-212.31802231999995,60.66,95,1062738,,,,
0.56,12877,11177,-212.29635426999997,60.66,95,1062838,4899.8193283081055,635.59365234375,1062720,0.001
0.56,12878,11180,-210.93205500999997,60.19,95,1062850,7562.277890014649,637.6613403320313,1062740,0.001
0.56,12879,11194,-208.68777343,60.19,94,1062950,7140.568357849121,639.9266296386719,1062840,0.001
0.57,12880,11207,-206.55194205999993,59.88,94,1063019,5762.044805908203,639.2073425292969,1062900,0.001
0.56,12881,11220,-210.06426398999997,60.21,94,1063119,7059.916717529297,640.0889343261719,1063000,0.001
0.56,12882,11228,-208.43972586999996,60.64,94,1063166,10165.026809692383,643.3565124511719,1063060,0.001
0.56,12883,11242,-202.90955345999998,60.64,94,1063266,9755.884684753419,633.2410400390625,1063160,0.001
0.55,12884,11256,-205.55345701,61.41,94,1063366,7716.894987487793,639.769580078125,1063260,0.001
0.54,12885,11272,-219.54106548,61.95,94,1063466,12522.681518554688,635.1589599609375,1063360,0.001
0.53,12886,11298,-221.50772066000002,62.86,94,1063566,9104.694763183594,636.8561218261718,1063460,0.001
0.53,12887,11313,-221.63816833000004,63.42,94,1063647,10113.659231567382,635.1198547363281,1063540,0.001
0.54,12888,11318,-220.77588282000005,62.59,93,1063664,9933.161140441895,637.9959777832031,1063560,0.001
0.55,12889,11319,-194.73989645,61.62,93,1063667,,,,
0.55,12890,11337,-189.08723792,61.62,93,1063767,7831.370683288575,634.4891174316406,1063660,0.001
0.56,12891,11348,-188.85261060999997,61.49,93,1063854,10236.06576538086,643.0915771484375,1063740,0.001
0.57,12892,11351,-184.58310245,60.6,93,1063865,8540.926849365234,641.6070434570313,1063760,0.001
0.57,12893,11353,-184.42470679999994,60.14,93,1063876,,,,
0.56,12894,11370,-188.09879954999997,61.11,93,1063976,7383.736158752441,648.2232604980469,1063860,0.001
0.56,12895,11371,-187.99456830999995,60.95,93,1063980,,,,
0.57,12896,11383,-184.68103523000002,60.61,93,1064046,6141.441680908203,638.2426086425781,1063940,0.001
0.57,12897,11396,-183.91672313000004,61.09,93,1064117,9329.96411895752,644.9880249023438,1064000,0.001
0.58,12898,11405,-183.04509386,60.48,93,1064156,9801.889115905762,643.6681701660157,1064040,0.001
0.57,12899,11424,-187.25350777,60.71,93,1064256,11876.315586853027,648.025,1064140,0.001
0.58,12900,11425,-186.16815682,59.75,93,1064260,,,,
0.58,12901,11427,-186.05421876,59.62,93,1064270,8477.786650085449,636.0335388183594,1064160,0.001
0.58,12902,11430,-183.30630979,58.81,93,1064281,12399.36735534668,636.4333312988281,1064180,0.001
0.57,12903,11442,-188.55099165000004,59.69,93,1064381,10033.682490539552,640.9408630371094,1064280,0.001
0.57,12904,11458,-183.47217854000002,59.69,92,1064481,8650.849908447266,647.3616516113282,1064380,0.001
0.57,12905,11461,-183.17287243,59.56,92,1064490,,,,
0.57,12906,11463,-183.87692164000003,59.52,92,1064496,,,,
0.56,12907,11480,-188.03708107000003,60.45,92,1064596,7883.287236022949,642.8936584472656,1064480,0.001
0.56,12908,11484,-187.75473083999998,60.33,92,1064620,9978.054666137696,637.2769409179688,1064500,0.001
0.57,12909,11486,-177.14393316,59.43,92,1064630,7921.583255004883,653.3412841796875,1064520,0.001
0.57,12910,11489,-177.17743914,59.54,92,1064644,9298.5658203125,637.0512390136719,1064540,0.001
0.58,12911,11493,-168.67888470999998,58.73,92,1064663,6767.955439758301,652.0110656738282,1064560,0.001
0.57,12912,11507,-175.25347347000002,59.63,92,1064763,11705.31153564453,632.8973022460938,1064660,0.001
0.57,12913,11512,-175.1955157,59.44,92,1064782,12980.097787475586,638.3873657226562,1064680,0.001
0.56,12914,11532,-178.47884909999996,59.83,92,1064882,9345.640385437011,637.1721313476562,1064780,0.001
0.55,12915,11548,-184.05781885,60.76,92,1064982,9195.289842224121,637.5081665039063,1064880,0.001
0.54,12916,11563,-186.21810897,61.55,92,1065082,6648.868995666504,642.5130859375,1064980,0.001
0.53,12917,11575,-189.05561248,61.99,92,1065182,9266.32473449707,630.5821960449218,1065080,0.001
0.53,12918,11581,-189.60690545999995,62.19,91,1065210,9702.43189086914,638.4423156738281,1065100,0.001
0.54,12919,11583,-186.49945524999998,61.26,91,1065217,,,,
0.53,12920,11603,-189.36373074000002,62.15,91,1065317,9658.701293945312,640.301611328125,1065200,0.001
0.54,12921,11611,-188.13969813,61.54,91,1065356,6101.946269226074,642.1676940917969,1065240,0.001
0.54,12922,11627,-187.09718756,61.54,91,1065456,6362.171743774414,639.3807434082031,1065340,0.001
0.54,12923,11631,-187.19082963000005,61.53,91,1065473,8192.829969787597,641.9420043945313,1065360,0.001
0.54,12924,11646,-188.85978557,61.53,91,1065573,9119.986807250976,638.9858825683593,1065460,0.001
0.54,12925,11659,-190.00501561000002,61.53,91,1065673,7434.9250762939455,640.6624877929687,1065560,0.001
0.53,12926,11674,-188.69534746000002,62.29,91,1065773,10372.73609008789,640.1573181152344,1065660,0.001
0.54,12927,11678,-183.28117964,61.46,91,1065790,9542.896908569335,646.0643615722656,1065680,0.001
0.54,12928,11694,-181.65328499,61.46,91,1065890,11067.974250793457,633.1641540527344,1065780,0.001
0.53,12929,11711,-184.62099529,62.28,91,1065990,9892.115487670899,640.0124267578125,1065880,0.001
0.54,12930,11720,-180.45871764,61.73,90,1066035,7120.772067260742,631.3472534179688,1065920,0.001
0.54,12931,11731,-180.15614483000002,62.24,90,1066090,9585.574307250976,637.6044494628907,1065980,0.001
0.53,12932,11752,-184.70109761,62.33,90,1066190,7544.1556991577145,638.3402893066407,1066080,0.001
0.53,12933,11755,-184.15128199,62.16,90,1066205,9593.773872375488,638.5001403808594,1066100,0.001
0.53,12934,11774,-184.78308851000003,62.16,90,1066305,5747.951908874512,639.230859375,1066200,0.001
0.53,12935,11793,-186.00293587,62.16,90,1066405,7472.433251953125,639.2750610351562,1066300,0.001
0.53,12936,11806,-181.64667606,62.16,90,1066505,6975.632943725586,642.6679138183594,1066400,0.001
0.53,12937,11822,-181.36500016999997,62.16,90,1066605,10659.817091369629,634.7439147949219,1066500,0.001
0.53,12938,11826,-181.71190224999998,62.29,90,1066623,9713.980221557616,644.316650390625,1066520,0.001
0.54,12939,11828,-180.19687918999998,61.41,90,1066635,,,,
0.54,12940,11829,-179.9121583,61.26,90,1066637,,,,
0.55,12941,11831,-177.79086296000003,60.33,90,1066644,12305.735945129394,639.2436645507812,1066540,0.001
0.54,12942,11845,-181.62238134999998,61.27,90,1066744,10350.897030639648,636.5408508300782,1066640,0.001
0.55,12943,11848,-178.99815771000002,60.42,90,1066759,,,,
0.55,12944,11863,-178.10556354,61.24,89,1066849,9528.620138549804,633.2463012695313,1066740,0.001
0.56,12945,11873,-171.81169837000002,60.84,89,1066909,9135.837423706054,633.2550964355469,1066800,0.001
0.56,12946,11875,-171.39320236,60.73,89,1066915,,,,
0.56,12947,11891,-175.99264759000002,60.73,89,1067015,7804.735504150391,639.9626037597657,1066900,0.001
0.55,12948,11909,-177.37585314000003,61.65,89,1067115,6690.9564010620115,642.4110107421875,1067000,0.001
0.55,12949,11918,-175.59213500000004,61.32,89,1067163,4667.221926879883,641.2372314453125,1067060,0.001
0.54,12950,11937,-178.25791929,62.04,89,1067263,6711.3802490234375,641.8290161132812,1067160,0.001
0.54,12951,11955,-171.01845353999997,62.04,89,1067363,7004.104191589356,643.3097229003906,1067260,0.001
0.55,12952,11968,-168.70026618999998,61.91,89,1067450,6628.074411010743,633.9244689941406,1067340,0.001
0.54,12953,11982,-170.52015018999998,62.8,89,1067550,10983.792056274415,634.1061828613281,1067440,0.001
0.54,12954,11995,-169.6594563,62.8,89,1067650,11338.589660644531,638.723291015625,1067540,0.001
0.53,12955,12010,-179.43575492,63.07,88,1067750,9065.1394241333,636.4571716308594,1067640,0.001
0.53,12956,12027,-174.64617164000003,63.07,88,1067850,7345.4736602783205,635.6593017578125,1067740,0.001
0.54,12957,12030,-170.54197086000005,62.17,88,1067860,,,,
0.54,12958,12032,-170.58199555000002,61.66,88,1067864,8679.157922363282,643.6356567382812,1067760,0.001
0.53,12959,12050,-174.49569933000006,62.0,88,1067964,7063.81641998291,639.2056274414062,1067860,0.001
0.54,12960,12055,-171.33410230000004,61.28,88,1067992,7544.283143615723,637.5847106933594,1067880,0.001
0.53,12961,12078,-173.60796509000002,62.23,88,1068092,6606.314791870117,637.8386352539062,1067980,0.001
0.53,12962,12094,-179.20450467000003,62.23,88,1068192,6088.001577758789,638.1946533203125,1068080,0.001
0.52,12963,12111,-184.09436276,63.07,88,1068292,8168.814978027343,639.3896057128907,1068180,0.001
0.51,12964,12127,-191.21976743000002,63.65,88,1068392,6267.80795135498,634.6655639648437,1068280,0.001
0.5,12965,12144,-191.05608944000002,63.82,87,1068492,9113.471617126464,637.6533264160156,1068380,0.001
0.5,12966,12145,-190.90836668000003,63.77,87,1068497,,,,
0.5,12967,12166,-193.59472096,63.77,87,1068597,8135.397369384766,636.8405029296875,1068480,0.001
0.51,12968,12177,-187.96884663999998,63.4,87,1068660,7733.895945739746,631.0757080078125,1068540,0.001
0.51,12969,12183,-188.41397695999996,63.29,87,1068689,11060.44903869629,635.2182006835938,1068580,0.001
0.51,12970,12200,-188.74641459999995,63.86,87,1068784,10551.006820678711,635.0586791992188,1068680,0.001
0.52,12971,12206,-178.56710218999996,63.24,87,1068822,8082.355145263672,629.6884643554688,1068720,0.001
0.52,12972,12224,-178.97720188,63.24,87,1068922,8516.056681823731,639.0859741210937,1068820,0.001
0.51,12973,12242,-182.60879111999998,64.12,87,1069022,8855.961750793456,636.5576965332032,1068920,0.001
0.51,12974,12257,-179.58585553999998,64.77,87,1069108,8264.358268737793,642.2818054199219,1069000,0.001
0.51,12975,12275,-184.57194735999997,64.77,87,1069208,8935.69345703125,636.8587951660156,1069100,0.001
0.51,12976,12278,-184.24065579999998,64.79,87,1069217,,,,
0.52,12977,12285,-181.95546086000002,64.27,87,1069265,12010.523822021485,633.3725830078125,1069160,0.001
0.52,12978,12287,-182.00379751,64.21,87,1069271,,,,
0.53,12979,12288,-179.18905142000003,63.25,87,1069275,,,,
0.53,12980,12293,-178.45506549,62.78,86,1069297,8772.980952453614,637.6980407714843,1069180,0.001
0.53,12981,12307,-181.90152405,62.78,86,1069397,3847.6210037231444,641.220849609375,1069280,0.001
0.52,12982,12324,-188.26218769000008,63.31,86,1069497,10072.077711486816,634.6356262207031,1069380,0.001
0.52,12983,12345,-187.03570417000003,63.31,86,1069597,12965.896633911132,634.0172302246094,1069480,0.001
0.53,12984,12350,-185.04160019000003,62.55,86,1069621,7295.085554504394,639.0857971191406,1069520,0.001
0.53,12985,12365,-181.43032314,62.55,86,1069721,9562.692973327637,639.4862060546875,1069620,0.001
0.53,12986,12380,-181.76076163999997,62.55,86,1069821,7086.767158508301,640.525341796875,1069720,0.001
0.53,12987,12382,-181.39449864999997,61.83,86,1069830,,,,
0.53,12988,12384,-180.94885094,61.72,86,1069836,,,,
0.53,12989,12387,-181.02603948,61.82,86,1069849,8316.800183105468,636.9089538574219,1069740,0.001
0.53,12990,12402,-183.40126256,61.82,86,1069949,8544.359539794921,636.69951171875,1069840,0.001
0.52,12991,12420,-181.84376661000002,61.95,86,1070049,8359.13477783203,639.2468017578125,1069940,0.001
0.51,12992,12435,-185.25804143999997,62.84,86,1070149,8901.106051635743,637.4192749023438,1070040,0.001
0.51,12993,12436,-184.74831819,62.79,86,1070155,,,,
0.52,12994,12440,-181.13218213,61.95,86,1070171,5939.657778930664,639.437255859375,1070060,0.001
0.51,12995,12463,-186.22439554000005,62.91,85,1070271,10493.850421142579,635.3068969726562,1070160,0.001
0.5,12996,12478,-189.34269052000002,63.25,85,1070371,8036.181095886231,630.2117736816406,1070260,0.001
0.5,12997,12480,-190.33635659000004,62.62,85,1070379,,,,
0.49,12998,12497,-196.03022608000003,63.23,85,1070479,8424.578730773927,634.4013793945312,1070360,0.001
0.5,12999,12501,-191.80934344000005,62.39,85,1070495,6659.283427429199,637.73291015625,1070380,0.001
0.49,13000,12518,-194.97015254,63.35,85,1070595,8683.520309448242,630.0389587402344,1070480,0.001
0.49,13001,12521,-195.52162994000003,63.36,85,1070606,9800.648524475098,636.4814208984375,1070500,0.001
0.49,13002,12529,-196.51184771,63.65,85,1070646,7441.071417236328,642.3099609375,1070540,0.001
0.49,13003,12546,-194.87666961000002,63.65,85,1070746,10100.346936035156,633.0577270507813,1070640,0.001
0.5,13004,12547,-195.45320391999996,62.7,85,1070751,,,,
0.5,13005,12564,-196.51888413,63.57,85,1070847,6999.697409057617,640.0796081542969,1070740,0.001
0.49,13006,12582,-206.58538182,64.51,85,1070947,5732.457025146485,642.7871032714844,1070840,0.001
0.5,13007,12583,-202.49110678,63.55,85,1070951,,,,
0.49,13008,12603,-208.65823249999997,64.31,84,1071051,8177.296211242676,643.7236145019531,1070940,0.001
0.49,13009,12608,-208.50831752,64.45,84,1071075,11332.506781005859,637.8231506347656,1070960,0.001
0.49,13010,12610,-209.64510675000002,64.36,84,1071080,,,,
0.49,13011,12616,-209.68003827999996,64.51,84,1071114,13116.081335449218,629.3281005859375,1071000,0.001
0.5,13012,12619,-203.00410288999998,63.65,84,1071128,10914.272547912598,635.2299255371094,1071020,0.001
0.49,13013,12642,-208.43258093,64.46,84,1071228,11782.373919677735,630.3644104003906,1071120,0.001
0.49,13014,12656,-212.1749897,64.46,84,1071328,7077.270137023926,637.9072631835937,1071220,0.001
0.5,13015,12661,-206.75291527000002,63.68,84,1071350,12119.708380126953,635.3022399902344,1071240,0.001
0.51,13016,12679,-204.0643344,63.62,84,1071444,9350.422418212891,638.5021667480469,1071340,0.001
0.51,13017,12692,-206.67562422000003,63.62,84,1071544,8964.148733520507,641.3040283203125,1071440,0.001
0.5,13018,12711,-208.84966876000001,64.34,84,1071644,7542.348837280273,639.2797180175781,1071540,0.001
0.49,13019,12730,-210.23071983000003,65.27,84,1071744,6421.23967590332,641.4243774414062,1071640,0.001
0.5,13020,12731,-206.63278182000002,64.32,84,1071749,,,,
0.49,13021,12748,-211.72879012,64.93,84,1071849,8602.900968933105,641.5720642089843,1071740,0.001
0.49,13022,12763,-212.24985270000002,64.93,83,1071949,7252.515910339355,635.9289001464844,1071840,0.001
0.49,13023,12765,-212.48749009000002,64.83,83,1071956,,,,
0.49,13024,12786,-212.0860603,64.83,83,1072056,11127.17921142578,632.6168701171875,1071940,0.001
0.5,13025,12790,-209.51551714999997,63.96,83,1072069,8770.93953552246,638.5661682128906,1071960,0.001
0.51,13026,12794,-209.96733721999996,63.13,83,1072086,6855.589073181152,643.2442687988281,1071980,0.001
0.51,13027,12798,-209.46505922999998,63.17,83,1072107,9340.204977416992,631.4497192382812,1072000,0.001
0.52,13028,12813,-207.79354042,63.07,83,1072197,8446.308192443848,643.1324157714844,1072080,0.001
0.53,13029,12815,-204.64097061,62.12,83,1072202,10338.629272460938,642.5962280273437,1072100,0.001
0.53,13030,12826,-206.52459865,62.37,83,1072272,8553.420162963866,636.7753356933594,1072160,0.001
0.52,13031,12839,-210.80041995,62.82,83,1072372,8170.6383056640625,632.5598571777343,1072260,0.001
0.52,13032,12857,-206.18657001,62.82,83,1072472,8392.925260925293,643.153271484375,1072360,0.001
0.52,13033,12861,-206.56934712999998,62.82,83,1072487,5841.065957641602,648.6402770996094,1072380,0.001
0.53,13034,12863,-202.36523784999997,61.96,83,1072501,12199.178953552246,632.3658264160156,1072400,0.001
0.54,13035,12866,-198.17966955999998,61.07,83,1072512,,,,
0.54,13036,12883,-201.64339496999997,61.07,83,1072612,7889.775245666504,638.9130310058594,1072500,0.001
0.54,13037,12906,-199.99367813,61.07,83,1072712,8373.752624511719,636.8281433105469,1072600,0.001
0.54,13038,12911,-199.74928353000004,61.09,83,1072732,9977.240547180176,636.9982421875,1072620,0.001
0.54,13039,12922,-201.27004534000002,61.57,83,1072792,8893.540783691406,635.7518920898438,1072680,0.001
0.53,13040,12937,-204.43886969000008,62.55,82,1072892,7667.447381591797,640.2057678222657,1072780,0.001
0.53,13041,12941,-204.31417447000004,62.7,82,1072914,9954.152532958984,640.3762268066406,1072800,0.001
0.54,13042,12946,-200.64678055000002,61.98,82,1072942,8024.972625732422,634.1102416992187,1072840,0.001
0.53,13043,12965,-205.58706759000003,62.83,82,1073042,6415.968280029297,639.527880859375,1072940,0.001
0.52,13044,12985,-210.62871972000002,62.93,82,1073142,7725.846841430664,643.3998840332031,1073040,0.001
0.52,13045,12988,-211.54178253,62.41,82,1073150,,,,
0.51,13046,13002,-214.81238302999998,63.35,82,1073250,12519.619471740723,643.0391845703125,1073140,0.001
0.52,13047,13012,-210.13303113000006,62.99,82,1073314,7924.202256774903,640.6447326660157,1073200,0.001
0.53,13048,13025,-209.43710647000003,62.8,82,1073395,7734.583738708496,638.2150024414062,1073280,0.001
0.52,13049,13047,-210.40064408000006,63.32,82,1073495,6411.160131835937,638.8578979492188,1073380,0.001
0.53,13050,13049,-207.48931234000003,62.37,82,1073500,,,,
0.53,13051,13063,-212.37501177000001,62.37,82,1073600,8070.222433471679,641.5734008789062,1073480,0.001
0.53,13052,13069,-210.67175210000002,61.81,82,1073631,9689.440196228028,639.55712890625,1073520,0.001
0.53,13053,13082,-214.43497792000002,61.81,82,1073731,8786.09393005371,634.3809631347656,1073620,0.001
0.54,13054,13085,-212.52816499,60.91,82,1073741,6700.580615234375,639.9350402832031,1073640,0.001
0.54,13055,13104,-210.05778324,60.91,81,1073841,8596.994383239746,639.3382629394531,1073740,0.001
0.55,13056,13111,-208.40619594,60.32,81,1073882,7968.450346374511,637.4325622558594,1073780,0.001
0.55,13057,13125,-208.00540020999998,60.92,81,1073952,10309.533337402343,640.695166015625,1073840,0.001
0.54,13058,13138,-213.21555956999998,61.88,81,1074052,12132.468371582032,632.1351806640625,1073940,0.001
0.55,13059,13142,-209.91142273999998,61.07,81,1074071,10484.088333129883,629.0648376464844,1073960,0.001
0.55,13060,13151,-207.89283474999996,61.4,81,1074132,7971.015985107422,643.1815307617187,1074020,0.001
0.55,13061,13171,-211.12049935999997,61.4,81,1074232,5683.487001037598,646.87744140625,1074120,0.001
0.56,13062,13174,-202.74888108,60.55,81,1074247,8620.764422607423,639.7482727050781,1074140,0.001
0.57,13063,13176,-197.94228059,59.59,81,1074251,,,,
0.57,13064,13189,-194.55493105000002,59.59,81,1074351,7100.510635375977,640.7213745117188,1074240,0.001
0.58,13065,13199,-195.02153540999998,59.2,81,1074412,7731.217288208008,640.96904296875,1074300,0.001
