rollout/success rate,time/episodes,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total timesteps,train/critic_loss,train/actor_loss,train/n_updates,train/learning_rate
0.45,12003,1245,-270.23574163999996,67.67,808,1006767,11545.849310302734,627.0455932617188,1006660,0.001
0.45,12004,1247,-270.05794583999995,67.63,807,1006774,,,,
0.45,12005,1253,-269.16630898999995,67.32,803,1006801,11344.12880859375,636.1523010253907,1006700,0.001
0.45,12006,1255,-268.53601296999994,66.57,802,1006807,,,,
0.46,12007,1271,-260.76439956999997,66.51,791,1006901,7853.852598571777,632.1731140136719,1006800,0.001
0.46,12008,1283,-262.24261645999997,67.03,784,1006969,6703.2418960571285,635.5328125,1006860,0.001
0.45,12009,1300,-267.65427042,67.84,774,1007069,9248.73782043457,624.3170959472657,1006960,0.001
0.44,12010,1314,-269.45171421,68.65,766,1007169,6938.258862304688,628.5092224121094,1007060,0.001
0.44,12011,1331,-259.09503947999997,68.65,756,1007269,8282.210453796386,634.9865783691406,1007160,0.001
0.43,12012,1345,-262.88341767,69.07,748,1007369,9701.655554199218,628.5513916015625,1007260,0.001
0.42,12013,1364,-268.66604423999996,69.98,738,1007469,8511.730102539062,632.5348205566406,1007360,0.001
0.42,12014,1384,-274.29869832,69.98,727,1007569,7061.940452575684,635.4782958984375,1007460,0.001
0.42,12015,1401,-273.93494544000004,69.98,718,1007669,7222.788137817382,636.2166931152344,1007560,0.001
0.41,12016,1420,-282.81142892,70.41,709,1007769,6489.6813339233395,632.743701171875,1007660,0.001
0.41,12017,1434,-283.80128287,70.41,702,1007869,9678.900758361817,633.6795837402344,1007760,0.001
0.41,12018,1445,-285.14931208,71.02,697,1007936,7999.706159973144,628.2235778808594,1007820,0.001
0.4,12019,1459,-286.11338797,71.94,690,1008036,5419.985459899903,634.8882019042969,1007920,0.001
0.41,12020,1463,-284.8669629,71.15,688,1008057,11045.765658569337,630.5446350097657,1007940,0.001
0.42,12021,1467,-276.28862974,70.33,687,1008075,7035.88923034668,633.2474792480468,1007960,0.001
0.41,12022,1481,-280.24046473000004,70.92,680,1008175,8072.30347290039,632.5391418457032,1008060,0.001
0.4,12023,1500,-286.79293110000003,71.34,672,1008275,6526.894033813476,631.6660522460937,1008160,0.001
0.41,12024,1509,-287.06826034,70.82,667,1008323,5177.14058227539,632.8274780273438,1008220,0.001
0.4,12025,1529,-292.21970733,71.13,659,1008423,9156.978982543946,625.3697937011718,1008320,0.001
0.41,12026,1535,-286.5743567,70.37,656,1008447,7046.640277099609,628.867431640625,1008340,0.001
0.42,12027,1540,-283.79940187999995,69.65,654,1008475,7343.812887573242,633.9821044921875,1008360,0.001
0.42,12028,1547,-285.90609637,69.75,651,1008503,8982.8677444458,633.6232788085938,1008400,0.001
0.41,12029,1569,-290.51492763000005,70.71,642,1008603,5987.823545837402,635.7234558105469,1008500,0.001
0.42,12030,1581,-291.79696491000004,70.27,637,1008659,10283.131489562988,628.9778686523438,1008540,0.001
0.42,12031,1598,-287.93090830000006,70.27,631,1008759,5618.2477005004885,639.8321350097656,1008640,0.001
0.42,12032,1601,-286.9608038900001,69.86,629,1008769,5609.686692810059,627.8344970703125,1008660,0.001
0.43,12033,1608,-279.58040795000005,69.27,627,1008810,6567.773254394531,630.4923828125,1008700,0.001
0.43,12034,1624,-282.6409216,69.66,620,1008893,6234.292143249511,635.4247192382812,1008780,0.001
0.44,12035,1626,-280.08470556000003,68.7,620,1008897,,,,
0.44,12036,1637,-280.5494360800001,68.71,616,1008944,12060.116485595703,631.8284362792969,1008840,0.001
0.43,12037,1652,-282.20573315,69.67,610,1009044,4030.2179458618166,634.6840026855468,1008940,0.001
0.42,12038,1668,-284.55673178,70.48,604,1009144,3182.828762817383,642.899853515625,1009040,0.001
0.41,12039,1685,-287.17327816,71.04,598,1009244,6510.728744506836,631.9371826171875,1009140,0.001
0.41,12040,1703,-281.71279494000004,71.04,592,1009344,8790.410610961913,632.4225158691406,1009240,0.001
0.4,12041,1716,-285.34777147000005,71.62,588,1009444,8386.477409362793,633.1315979003906,1009340,0.001
0.41,12042,1727,-277.41384398,71.39,584,1009521,5468.683929443359,635.1161743164063,1009420,0.001
0.41,12043,1733,-277.53441116,71.41,582,1009546,5852.272567749023,632.4454284667969,1009440,0.001
0.41,12044,1753,-249.44166127,71.41,575,1009646,7326.710133361817,642.2536499023438,1009540,0.001
0.41,12045,1755,-249.40438348999996,71.33,575,1009652,,,,
0.41,12046,1775,-249.81047841999995,71.33,568,1009752,8172.535998535156,636.4747436523437,1009640,0.001
0.42,12047,1787,-242.01629062,71.0,565,1009819,10163.30609588623,633.9691162109375,1009700,0.001
0.42,12048,1800,-239.80110376999997,71.0,561,1009919,9151.740365600586,628.1816772460937,1009800,0.001
0.42,12049,1821,-233.62221684,71.0,554,1010019,6748.9490371704105,636.5405700683593,1009900,0.001
0.42,12050,1824,-234.99728147,70.61,553,1010030,11469.589108276366,633.512841796875,1009920,0.001
0.42,12051,1844,-237.55376078,70.61,547,1010130,6153.1166320800785,626.4803527832031,1010020,0.001
0.42,12052,1847,-237.83657899,70.73,546,1010148,8312.790969848633,624.9059204101562,1010040,0.001
0.43,12053,1864,-235.00588177999998,70.64,541,1010239,11015.109927368165,636.0096252441406,1010120,0.001
0.44,12054,1866,-229.56007248000003,69.71,541,1010246,10941.559532165527,629.4123291015625,1010140,0.001
0.43,12055,1879,-232.10649028000003,70.08,537,1010346,7092.332655334472,631.0347229003906,1010240,0.001
0.44,12056,1880,-229.82001595000003,69.11,537,1010349,,,,
0.43,12057,1899,-234.36445519,69.92,531,1010449,9138.618432617188,631.7797790527344,1010340,0.001
0.43,12058,1915,-233.94321194,69.92,527,1010549,8999.86586303711,636.3997619628906,1010440,0.001
0.42,12059,1931,-236.99291454000002,70.77,523,1010649,8228.250897216796,632.091064453125,1010540,0.001
0.43,12060,1939,-234.61841880000003,70.18,521,1010690,8237.673310852051,634.7431823730469,1010580,0.001
0.44,12061,1942,-231.40861745,69.3,520,1010702,10743.433721923828,629.3336486816406,1010600,0.001
0.43,12062,1960,-234.83507845,69.67,515,1010802,7294.14736328125,630.4476623535156,1010700,0.001
0.43,12063,1970,-235.65179409999996,70.19,513,1010858,7299.056863403321,633.2009155273438,1010740,0.001
0.44,12064,1991,-228.26794861,70.16,507,1010955,11252.33484954834,634.8978759765625,1010840,0.001
0.44,12065,2008,-226.48756672,70.16,503,1011055,6124.221380615234,633.9369873046875,1010940,0.001
0.44,12066,2029,-230.45850791,70.16,498,1011155,6242.997941589356,626.5444091796875,1011040,0.001
0.43,12067,2047,-233.60415407,71.11,493,1011255,10939.724813842773,626.0285034179688,1011140,0.001
0.42,12068,2072,-236.35776421000003,72.05,488,1011355,11347.374194335938,623.9713989257813,1011240,0.001
0.41,12069,2086,-234.33116146000003,72.9,484,1011455,8344.843139648438,629.1328002929688,1011340,0.001
0.42,12070,2101,-232.45463505,72.75,481,1011540,8942.830346679688,624.0805969238281,1011420,0.001
0.42,12071,2102,-232.37229086,72.69,481,1011544,5669.9987716674805,628.5030700683594,1011440,0.001
0.42,12072,2110,-232.37741515,72.88,479,1011577,9125.571354675292,626.0182922363281,1011460,0.001
0.43,12073,2121,-231.71591852,72.41,476,1011630,7569.2591796875,629.6485168457032,1011520,0.001
0.44,12074,2123,-226.43249462000003,71.49,476,1011638,,,,
0.44,12075,2142,-227.99095515000002,71.49,472,1011738,7181.100430297852,627.4374633789063,1011620,0.001
0.45,12076,2150,-226.82681261000005,70.91,470,1011780,7768.019078063965,625.8537048339844,1011660,0.001
0.45,12077,2155,-226.77757869,70.95,469,1011804,12852.211755371094,621.1674011230468,1011700,0.001
0.44,12078,2168,-228.84914938999998,71.89,466,1011904,7457.412191772461,635.2151123046875,1011800,0.001
0.45,12079,2175,-226.69069979,71.29,465,1011944,6147.051734924316,633.9228698730469,1011840,0.001
0.46,12080,2179,-219.07700526999997,70.5,464,1011965,9288.125099182129,629.7588317871093,1011860,0.001
0.45,12081,2197,-220.693886,71.37,460,1012065,6818.970701599121,629.5358337402344,1011960,0.001
0.44,12082,2214,-224.75725430000003,72.3,457,1012165,8965.291687011719,629.0748413085937,1012060,0.001
0.45,12083,2218,-219.90743671000004,71.48,456,1012183,8040.243667602539,628.6232055664062,1012080,0.001
0.44,12084,2231,-225.00828264,71.74,453,1012283,9003.547694396973,627.8906921386719,1012180,0.001
0.44,12085,2246,-226.79668375,71.74,450,1012383,8800.438383483886,627.3268798828125,1012280,0.001
