rollout/success rate,time/total timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates
0.28,802283,9105,80.42,-397.73616116,2186,366,785.05439453125,8029.3114959716795,0.001,802180
0.29,802319,9106,79.78,-389.0267509700001,2149,373,796.0082641601563,7002.843843078614,0.001,802200
0.3,802370,9107,79.29,-386.15222768000007,2089,384,787.51787109375,9516.103942871094,0.001,802260
0.3,802376,9108,78.84,-386.41336089000004,2078,385,,,,
0.29,802476,9109,79.25,-385.87697929,2001,400,781.1261169433594,13121.04779510498,0.001,802360
0.29,802576,9110,79.25,-386.07400983,1907,420,782.684912109375,7643.395104980469,0.001,802460
0.3,802643,9111,78.92,-385.59437872,1847,434,781.8878112792969,12789.607537841797,0.001,802540
0.3,802743,9112,78.92,-365.02487968,1768,453,791.6859558105468,10112.570846557617,0.001,802640
0.3,802843,9113,78.92,-360.49570308,1705,470,786.5245727539062,10980.326928710938,0.001,802740
0.3,802943,9114,78.92,-362.85102906,1657,484,783.4319763183594,10854.36245727539,0.001,802840
0.3,803043,9115,78.92,-359.43319159,1604,500,789.1946472167969,12800.217422485352,0.001,802940
0.29,803143,9116,79.44,-367.15234846,1550,517,790.3767639160156,8629.826333618164,0.001,803040
0.28,803243,9117,79.95,-368.67895859,1508,532,784.1984313964844,12085.561730957032,0.001,803140
0.28,803277,9118,79.99,-368.27304547999995,1492,538,791.5941162109375,7648.988708496094,0.001,803160
0.28,803377,9119,79.99,-367.50229387,1447,555,790.0571533203125,14218.819519042969,0.001,803260
0.28,803477,9120,79.99,-357.0186823,1408,570,785.1588256835937,6123.6949462890625,0.001,803360
0.29,803492,9121,79.14,-353.13670375000004,1400,573,787.242431640625,16561.979754638673,0.001,803380
0.29,803592,9122,79.14,-349.86447376999996,1367,587,785.3611999511719,11007.339212036133,0.001,803480
0.28,803692,9123,79.83,-356.67826458999997,1332,603,787.2439758300782,6432.0322540283205,0.001,803580
0.28,803792,9124,79.83,-359.3500196899999,1289,623,782.4796081542969,11634.065650939941,0.001,803680
0.27,803892,9125,80.69,-364.20160816000003,1256,639,786.9196411132813,11763.832135009765,0.001,803780
0.27,803992,9126,80.69,-361.91150192000003,1231,652,780.4118896484375,10387.463171386718,0.001,803880
0.28,803999,9127,79.76,-358.5549285300001,1227,654,,,,
0.27,804099,9128,80.72,-365.57420834000004,1194,673,789.3873168945313,6401.8612060546875,0.001,803980
0.27,804199,9129,80.72,-362.35068786000005,1168,688,777.655029296875,12120.338719177245,0.001,804080
0.27,804299,9130,80.72,-352.81245836,1143,703,779.4036437988282,12733.751196289062,0.001,804180
0.26,804399,9131,80.74,-347.00767136,1119,718,786.79912109375,8391.265432739257,0.001,804280
0.26,804499,9132,80.74,-343.0760917400001,1098,732,786.0262512207031,9186.295669555664,0.001,804380
0.26,804512,9133,80.6,-344.17039037,1093,735,790.1582214355469,7925.453024291992,0.001,804400
0.25,804612,9134,80.85,-344.77697034,1075,747,782.9047424316407,9110.5070602417,0.001,804500
0.25,804712,9135,80.85,-337.92804455999993,1049,766,786.48974609375,12374.721246337891,0.001,804600
0.25,804812,9136,80.85,-335.68651317999996,1026,783,778.0611145019532,16499.024005126954,0.001,804700
0.25,804912,9137,80.85,-332.99051683,1011,795,780.6544921875,9176.22389831543,0.001,804800
0.26,804925,9138,79.98,-325.56366392,1008,798,785.5363159179688,10114.890077209473,0.001,804820
0.26,805025,9139,79.98,-318.9376896,988,814,787.7399536132813,8858.673580932616,0.001,804920
0.27,805043,9140,79.16,-311.27734180000004,984,818,778.53134765625,11876.724768066406,0.001,804940
0.28,805074,9141,78.47,-305.42735097,976,824,785.9432067871094,11876.655908203125,0.001,804960
0.27,805174,9142,79.4,-307.69481838,960,838,782.4527099609375,11749.710717773438,0.001,805060
0.27,805274,9143,79.4,-300.23037395000006,946,850,779.7939331054688,12436.978057861328,0.001,805160
0.27,805374,9144,79.4,-301.11302543,929,866,778.4484985351562,12801.895544433593,0.001,805260
0.27,805474,9145,79.4,-299.18479499999995,915,879,777.7936157226562,12666.270086669922,0.001,805360
0.27,805574,9146,79.4,-298.96597076,901,893,776.0048400878907,13112.088836669922,0.001,805460
0.27,805674,9147,79.4,-299.79723588999997,885,910,781.2258056640625,10536.004203796387,0.001,805560
0.27,805774,9148,79.4,-297.38648381999997,869,926,776.6341613769531,14437.149615478516,0.001,805660
0.28,805788,9149,78.54,-293.55906218,867,929,781.4045776367187,8538.749575805665,0.001,805680
0.28,805888,9150,78.54,-296.42908176000003,851,946,781.324951171875,10335.415338134766,0.001,805780
