time/fps,time/episodes,time/time_elapsed,train/actor_loss,rollout/success rate,train/n_updates,time/total timesteps,train/critic_loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
837,4289,481,857.8876037597656,0.17,402560,402661,7077.056025695801,0.001,-454.64497009999997,89.56
815,4290,493,864.2797790527344,0.18,402620,402738,9120.73235015869,0.001,-453.27412461000006,89.33
812,4291,495,850.7656127929688,0.19,402640,402746,8523.696704101563,0.001,-448.99171829,88.41
788,4292,510,857.3281494140625,0.18,402740,402846,5729.242663574219,0.001,-451.96822049,88.62
768,4293,524,854.1926879882812,0.19,402800,402914,10863.350469970703,0.001,-448.73888591,88.3
738,4294,545,854.1260559082032,0.18,402900,403014,12527.191180419923,0.001,-452.93741963,89.23
718,4295,560,861.8270812988281,0.18,403000,403114,8445.697396850586,0.001,-458.56496011,89.23
698,4296,576,865.8894104003906,0.18,403100,403214,5166.38353881836,0.001,-427.81890093000004,89.23
674,4297,597,860.2907592773438,0.18,403200,403314,8721.24351196289,0.001,-426.67153705000004,89.23
657,4298,613,855.2769958496094,0.18,403300,403414,11217.134939575195,0.001,-425.59275714999995,89.23
639,4299,630,863.8728820800782,0.18,403400,403514,3968.933280944824,0.001,-421.0903024,89.23
620,4300,650,861.8399597167969,0.18,403500,403614,7414.759973144532,0.001,-429.10073535,89.23
606,4301,665,858.9594604492188,0.17,403600,403714,7502.008430480957,0.001,-430.0720591500001,90.13
591,4302,682,854.23310546875,0.17,403700,403814,4526.418367004395,0.001,-428.1872934700001,90.13
573,4303,704,854.4944458007812,0.16,403800,403914,12736.105102539062,0.001,-430.69184993000005,90.49
560,4304,721,855.1911315917969,0.15,403900,404014,7166.279135131836,0.001,-434.54479801,91.35
548,4305,736,851.9884521484375,0.15,404000,404114,8978.575173950196,0.001,-437.51729936000004,91.35
532,4306,758,862.6157348632812,0.15,404100,404214,8947.717431640625,0.001,-436.99699774,91.35
522,4307,773,855.5050842285157,0.14,404200,404314,5161.673495483398,0.001,-440.98949579999993,92.15
515,4308,785,844.7638122558594,0.15,404260,404380,9804.079144287109,0.001,-438.24756369999994,91.81
504,4309,801,858.5716796875,0.15,404360,404480,4609.663732910156,0.001,-436.35379484,91.81
492,4310,821,851.1773559570313,0.14,404460,404580,8397.082543945313,0.001,-438.8706069299999,92.24
481,4311,840,854.8408142089844,0.14,404560,404680,11056.819677734375,0.001,-441.06204434,92.24
476,4312,849,845.576611328125,0.14,404640,404742,15480.048150634766,0.001,-441.6516995899999,92.7
467,4313,865,857.0662658691406,0.14,404740,404842,10097.501675415038,0.001,-440.17353707,92.7
459,4314,881,856.0217346191406,0.14,404840,404942,13524.516598510741,0.001,-441.28515307999993,92.7
450,4315,899,849.4442321777344,0.14,404940,405042,7877.170755004883,0.001,-444.63944596,92.7
441,4316,916,858.2259826660156,0.15,405020,405123,6888.310488891601,0.001,-440.47395744,92.51
433,4317,934,853.8283081054688,0.15,405120,405223,9665.220590209961,0.001,-435.83551525000007,92.51
432,4318,936,,0.16,,405235,,,-430.45856406000007,91.63
