time/time_elapsed,train/actor_loss,train/learning_rate,train/critic_loss,time/total timesteps,train/n_updates,rollout/success rate,time/fps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean
5033,7497.12236328125,0.001,657809.000390625,319100,219080,0.0,63,3193,-6814.497200899999,100.0
5063,7428.923779296875,0.001,1022919.908984375,319200,219180,0.0,63,3194,-6804.658845750003,100.0
5091,7426.95478515625,0.001,699615.935546875,319300,219280,0.0,62,3195,-6855.168216430001,100.0
5113,7374.942724609375,0.001,929818.965625,319400,219380,0.0,62,3196,-6853.948825570001,100.0
5140,7453.52802734375,0.001,1036611.48046875,319500,219480,0.0,62,3197,-6833.53337696,100.0
5169,7364.504345703125,0.001,785850.062890625,319600,219580,0.0,61,3198,-6844.85598904,100.0
5205,7442.29736328125,0.001,731203.2890625,319700,219680,0.0,61,3199,-6864.2247557499995,100.0
5233,7590.24482421875,0.001,551706.018359375,319800,219780,0.0,61,3200,-6891.928729319999,100.0
5262,7367.35537109375,0.001,1321245.95625,319900,219880,0.0,60,3201,-6853.84777022,100.0
5283,7396.230322265625,0.001,1157543.400390625,320000,219980,0.0,60,3202,-6814.968563109999,100.0
5314,7484.494482421875,0.001,1339239.954296875,320100,220080,0.0,60,3203,-6847.791114629999,100.0
5337,7460.151220703125,0.001,848883.2765625,320200,220180,0.0,59,3204,-6841.39464611,100.0
5369,7380.778466796875,0.001,1754466.5265625,320300,220280,0.0,59,3205,-6846.077423780001,100.0
5394,7415.625390625,0.001,536417.88125,320400,220380,0.0,59,3206,-6838.255989340001,100.0
5408,7469.16533203125,0.001,885933.280078125,320500,220480,0.0,59,3207,-6838.466089020001,100.0
5435,7488.314111328125,0.001,818927.6109375,320600,220580,0.0,58,3208,-6853.060607760001,100.0
5461,7467.04794921875,0.001,942557.00703125,320700,220680,0.0,58,3209,-6862.0926551699995,100.0
5485,7523.61943359375,0.001,823543.364453125,320800,220780,0.0,58,3210,-6801.851226240001,100.0
5513,7367.26796875,0.001,1165182.045703125,320900,220880,0.0,58,3211,-6788.84361162,100.0
