time/total timesteps,train/n_updates,rollout/success rate,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/critic_loss,train/learning_rate,train/actor_loss,rollout/ep_len_mean
602682,502680,0.01,1110,-4692.638796,542,6032,607896.4916015625,0.001,5706.431396484375,99.82
602782,502780,0.01,1068,-4745.888178820001,564,6033,573867.66796875,0.001,5599.346826171875,99.82
602882,502880,0.01,1025,-4741.002003410001,588,6034,521460.8642578125,0.001,5657.501171875,99.82
602982,502980,0.01,982,-4773.13059781,613,6035,453557.75830078125,0.001,5694.53720703125,99.82
603082,503080,0.01,945,-4820.359046420001,637,6036,557145.82421875,0.001,5714.278271484375,99.82
603182,503180,0.01,912,-4840.408299939999,660,6037,604957.1271484375,0.001,5657.607275390625,99.82
603282,503280,0.01,890,-4770.48809676,677,6038,212330.9353515625,0.001,5621.775537109375,99.82
603382,503380,0.01,863,-4843.73806637,698,6039,511828.672265625,0.001,5691.573046875,99.82
603482,503480,0.01,844,-4882.7794341300005,714,6040,650547.5189453125,0.001,5673.954150390625,99.82
603582,503580,0.01,825,-4897.84444378,731,6041,706412.582421875,0.001,5636.9935546875,99.82
603682,503680,0.01,804,-4906.8957462,750,6042,368192.4552734375,0.001,5633.094482421875,99.82
603782,503780,0.01,786,-4835.812798569999,767,6043,528093.3982421875,0.001,5658.541064453125,99.82
603882,503880,0.01,764,-4781.043750100001,790,6044,524105.4998046875,0.001,5607.726123046875,99.82
603982,503980,0.01,741,-4832.34106126,814,6045,721858.42734375,0.001,5672.865576171875,99.82
604082,504080,0.01,724,-4785.38257391,834,6046,406155.2298828125,0.001,5596.93779296875,99.82
604182,504180,0.01,707,-4792.91776372,853,6047,513457.967578125,0.001,5631.760791015625,99.82
604282,504280,0.01,694,-4727.800708209999,869,6048,753737.90234375,0.001,5593.75263671875,99.82
604382,504380,0.01,678,-4713.736562759999,890,6049,531295.696484375,0.001,5653.415234375,99.82
604482,504480,0.01,665,-4647.919566719999,908,6050,387378.978125,0.001,5600.48779296875,99.82
604582,504580,0.01,653,-4657.0507121499995,924,6051,623306.018359375,0.001,5636.137353515625,99.82
604682,504680,0.01,638,-4657.31883258,946,6052,612320.56328125,0.001,5628.03125,99.82
604782,504780,0.01,626,-4591.42749028,965,6053,443726.3154296875,0.001,5595.173095703125,99.82
604882,504880,0.01,613,-4585.845806050001,985,6054,794559.5708984375,0.001,5570.028369140625,99.82
604982,504980,0.01,594,-4560.6123731200005,1017,6055,609392.4474609375,0.001,5620.4177734375,99.82
605082,505080,0.01,582,-4542.0028432,1039,6056,457689.46875,0.001,5696.08916015625,99.82
605120,505100,0.02,577,-4506.246747820001,1047,6057,368313.6396484375,0.001,5642.128857421875,99.2
605220,505200,0.02,563,-4531.41913606,1073,6058,638791.4787109375,0.001,5589.84462890625,99.2
605320,505300,0.02,555,-4505.28594025,1090,6059,466962.85546875,0.001,5661.510205078125,99.2
605420,505400,0.02,543,-4528.12576408,1113,6060,436566.5466796875,0.001,5659.0060546875,99.2
