train/learning_rate,train/critic_loss,rollout/success rate,time/episodes,train/actor_loss,train/n_updates,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total timesteps,rollout/ep_len_mean
0.001,3960.9057083129883,0.37,6702,699.9043579101562,603140,-235.96204684999998,1056,571,603244,74.46
0.001,8368.436114501954,0.37,6703,693.6471252441406,603240,-235.99277871,1027,587,603344,74.46
0.001,6628.630801391601,0.36,6704,701.55732421875,603340,-237.37218929000002,1002,602,603444,74.59
0.001,4934.661038208008,0.37,6705,698.1916137695313,603360,-236.86975714999997,993,607,603472,73.87
0.001,5581.537678527832,0.37,6706,697.1225280761719,603460,-236.61748640999994,963,626,603572,73.87
0.001,7641.8814102172855,0.36,6707,699.3798034667968,603560,-240.16386918999996,942,640,603672,74.78
0.001,6675.520407104492,0.36,6708,702.7100402832032,603660,-245.27600502999996,920,655,603772,74.78
0.001,10824.543029785156,0.36,6709,691.059326171875,603760,-245.47242837000002,897,672,603869,75.6
0.001,8340.784716796876,0.35,6710,685.8066223144531,603860,-247.53547955000002,874,690,603969,76.48
0.001,7283.881762695312,0.36,6711,691.3271240234375,603920,-246.02983257000002,858,703,604024,76.03
0.001,6457.555024719239,0.36,6712,696.8690612792968,604020,-243.73588118000004,834,723,604124,76.03
0.001,7200.741773986816,0.35,6713,691.5315368652343,604120,-247.96750367,817,739,604224,76.98
0.001,6548.912863159179,0.35,6714,701.2188903808594,604220,-245.98062112,795,759,604324,76.98
0.001,8481.10891418457,0.35,6715,698.4839965820313,604320,-243.90265366999995,780,774,604424,76.98
0.001,4919.175050354004,0.35,6716,700.3700073242187,604420,-243.14028021999994,763,791,604524,76.98
0.001,8281.083724975586,0.35,6717,701.7981079101562,604520,-243.93266451999992,749,806,604624,76.98
0.001,7046.4445526123045,0.34,6718,697.9617736816406,604620,-248.40927259999998,734,823,604724,77.84
0.001,7603.5589599609375,0.35,6719,695.7976989746094,604700,-244.31372524999995,716,843,604815,77.75
0.001,7953.483218383789,0.35,6720,694.5188293457031,604740,-241.87395088999997,711,849,604843,77.4
0.001,6279.314506530762,0.35,6721,708.5098571777344,604840,-245.04900519999995,700,864,604943,77.4
,,0.35,6722,,,-244.95934749999998,698,865,604949,76.86
0.001,7304.431840515137,0.35,6723,696.9263305664062,604940,-246.15056586999998,687,880,605049,76.86
0.001,7061.915316772461,0.35,6724,698.7440673828125,605040,-243.99707539000008,674,897,605149,76.86
0.001,8856.184480285645,0.36,6725,699.9874633789062,605060,-240.48854892000003,672,900,605165,76.02
0.001,8688.895275878906,0.36,6726,692.5549560546875,605160,-241.06662143000003,659,917,605265,76.02
0.001,6656.784596252442,0.36,6727,700.095703125,605260,-242.53236705,644,939,605365,76.02
0.001,7977.50227355957,0.36,6728,698.1360412597656,605360,-239.85727753999996,634,954,605465,76.02
0.001,9222.958993530274,0.36,6729,697.007470703125,605380,-239.92369771000003,630,960,605494,76.19
0.001,10019.383728027344,0.35,6730,695.181591796875,605480,-243.85781146000002,620,975,605594,76.81
0.001,6424.9326446533205,0.34,6731,699.3251159667968,605580,-252.16961142,607,997,605694,77.76
0.001,6594.848452758789,0.34,6732,694.0165649414063,605600,-252.28462465,605,999,605707,77.28
0.001,9213.171450805665,0.34,6733,696.4238830566406,605700,-253.49271561999998,594,1018,605807,77.28
0.001,4664.463513183594,0.34,6734,698.723193359375,605800,-255.20197222,585,1035,605907,77.28
0.001,13228.538314819336,0.34,6735,701.3781372070313,605840,-254.57421957999995,580,1044,605955,77.62
0.001,5711.154365539551,0.33,6736,698.6527038574219,605940,-254.92272527999998,572,1058,606055,78.16
0.001,6151.038143920899,0.34,6737,696.2200439453125,605960,-252.1875617,571,1061,606070,77.31
