rollout/success rate,time/time_elapsed,rollout/ep_len_mean,time/total timesteps,time/episodes,time/fps,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss
0.0,3207,100.0,8900,89,2,-93636.94163879775,,,,
0.0,3244,100.0,9000,90,2,-93646.50565905555,,,,
0.0,3280,100.0,9100,91,2,-93651.8842542747,,,,
0.0,3316,100.0,9200,92,2,-93722.79474466303,,,,
0.0,3353,100.0,9300,93,2,-93770.83707332256,,,,
0.0,3388,100.0,9400,94,2,-93795.67876148935,,,,
0.0,3425,100.0,9500,95,2,-93774.38886786315,,,,
0.0,3462,100.0,9600,96,2,-93781.87033769791,,,,
0.0,3498,100.0,9700,97,2,-93724.89732529897,,,,
0.0,3533,100.0,9800,98,2,-93739.50294566328,,,,
0.0,3569,100.0,9900,99,2,-93718.61866234345,,,,
0.0,3607,100.0,10000,100,2,-93729.07244005,,,,
0.0,3641,100.0,10100,101,2,-93704.20226388,,,,
0.0,3679,100.0,10200,102,2,-93626.61452959999,,,,
0.0,3715,100.0,10300,103,2,-93642.95808824,,,,
0.0,3753,100.0,10400,104,2,-93542.82688763,,,,
0.0,3789,100.0,10500,105,2,-93658.73457303,,,,
0.0,3825,100.0,10600,106,2,-93686.15742947,,,,
0.0,3861,100.0,10700,107,2,-93772.71820472,,,,
0.0,3894,100.0,10800,108,2,-93802.95534466,,,,
0.0,3931,100.0,10900,109,2,-93807.11583434998,,,,
0.0,3967,100.0,11000,110,2,-93861.44820616,,,,
0.0,4003,100.0,11100,111,2,-93928.28948262999,,,,
0.0,4040,100.0,11200,112,2,-93982.25841901999,,,,
0.0,4077,100.0,11300,113,2,-94123.96442535,,,,
0.0,4112,100.0,11400,114,2,-94076.40036295,,,,
0.0,4150,100.0,11500,115,2,-94128.64095918999,,,,
0.0,4187,100.0,11600,116,2,-94166.65155667998,,,,
0.0,4224,100.0,11700,117,2,-94167.72426374997,,,,
0.0,4260,100.0,11800,118,2,-94152.99055300001,,,,
0.0,4296,100.0,11900,119,2,-94319.10780782,,,,
0.0,4332,100.0,12000,120,2,-94165.59766891999,,,,
0.0,4368,100.0,12100,121,2,-94113.76894120002,,,,
0.0,4405,100.0,12200,122,2,-94017.89893583002,,,,
0.0,4440,100.0,12300,123,2,-94040.32702268001,,,,
0.0,4476,100.0,12400,124,2,-94004.26111624,,,,
0.0,4514,100.0,12500,125,2,-93914.14732561,,,,
0.0,4549,100.0,12600,126,2,-93879.38955478997,,,,
0.0,4585,100.0,12700,127,2,-93904.15156238999,,,,
0.0,4621,100.0,12800,128,2,-93898.34883574997,,,,
0.0,4657,100.0,12900,129,2,-93970.55013943998,,,,
0.0,4695,100.0,13000,130,2,-93903.95977676999,,,,
0.0,4730,100.0,13100,131,2,-93905.46460132,,,,
0.0,4765,100.0,13200,132,2,-93996.44057431999,,,,
0.0,4803,100.0,13300,133,2,-93931.53451027001,,,,
0.0,4839,100.0,13400,134,2,-94022.75594543997,,,,
0.0,4876,100.0,13500,135,2,-94012.88556904999,,,,
0.0,4912,100.0,13600,136,2,-94042.63419198,,,,
0.0,4949,100.0,13700,137,2,-94052.22343358003,,,,
0.0,4982,100.0,13800,138,2,-94059.31552865003,,,,
0.0,5018,100.0,13900,139,2,-94041.50705887,,,,
0.0,5054,100.0,14000,140,2,-94079.82686834,,,,
0.0,5090,100.0,14100,141,2,-94058.11674854999,,,,
0.0,5126,100.0,14200,142,2,-94153.67907656002,,,,
0.0,5163,100.0,14300,143,2,-94099.26278082002,,,,
0.0,5198,100.0,14400,144,2,-94095.56667873001,,,,
0.0,5234,100.0,14500,145,2,-94120.48281045999,,,,
0.0,5271,100.0,14600,146,2,-94101.42199041,,,,
0.0,5306,100.0,14700,147,2,-94074.88699848,,,,
0.0,5341,100.0,14800,148,2,-94123.41373764,,,,
0.0,5378,100.0,14900,149,2,-94130.55248682,,,,
0.0,5414,100.0,15000,150,2,-94079.40524609001,,,,
0.0,5450,100.0,15100,151,2,-94135.96853196001,,,,
0.0,5486,100.0,15200,152,2,-94076.58633090003,,,,
0.0,5523,100.0,15300,153,2,-94059.04475477003,,,,
0.0,5558,100.0,15400,154,2,-94017.86138438001,,,,
0.0,5593,100.0,15500,155,2,-94016.37950061003,,,,
0.0,5630,100.0,15600,156,2,-93978.15205213001,,,,
0.0,5667,100.0,15700,157,2,-93911.62874581001,,,,
0.0,5704,100.0,15800,158,2,-93954.88803878,,,,
0.0,5740,100.0,15900,159,2,-93969.90755469,,,,
0.0,5777,100.0,16000,160,2,-93976.01348530999,,,,
0.0,5814,100.0,16100,161,2,-93996.4910787,,,,
0.0,5850,100.0,16200,162,2,-94061.6896303,,,,
0.0,5885,100.0,16300,163,2,-94034.73773549,,,,
0.0,5921,100.0,16400,164,2,-94094.72879228998,,,,
0.0,5959,100.0,16500,165,2,-94084.10758277,,,,
0.0,5995,100.0,16600,166,2,-94021.57532206997,,,,
0.0,6031,100.0,16700,167,2,-93994.76440436,,,,
0.0,6067,100.0,16800,168,2,-94022.84504089,,,,
0.0,6102,100.0,16900,169,2,-93999.54039269999,,,,
0.0,6140,100.0,17000,170,2,-93989.48173980998,,,,
0.0,6175,100.0,17100,171,2,-93924.83111538998,,,,
0.0,6212,100.0,17200,172,2,-93958.77165251998,,,,
0.0,6250,100.0,17300,173,2,-93933.03445178998,,,,
0.0,6286,100.0,17400,174,2,-94032.51223967,,,,
0.0,6320,100.0,17500,175,2,-94097.64548101001,,,,
0.0,6357,100.0,17600,176,2,-94089.59619045,,,,
0.0,6395,100.0,17700,177,2,-94111.27229599001,,,,
0.0,6430,100.0,17800,178,2,-94154.23404732002,,,,
0.0,6465,100.0,17900,179,2,-94225.7850636,,,,
0.0,6502,100.0,18000,180,2,-94258.08919737,,,,
0.0,6539,100.0,18100,181,2,-94163.08506486999,,,,
0.0,6575,100.0,18200,182,2,-94232.1746988,,,,
0.0,6609,100.0,18300,183,2,-94282.32373585,,,,
0.0,6647,100.0,18400,184,2,-94367.61661605997,,,,
0.0,6681,100.0,18500,185,2,-94422.2555165,,,,
0.0,6715,100.0,18600,186,2,-94457.35295829998,,,,
0.0,6750,100.0,18700,187,2,-94502.11191512996,,,,
0.0,6786,100.0,18800,188,2,-94601.50743134,,,,
0.0,6820,100.0,18900,189,2,-94605.06129893998,,,,
0.0,6857,100.0,19000,190,2,-94632.55198369999,,,,
0.0,6891,100.0,19100,191,2,-94661.77791286999,,,,
0.0,6926,100.0,19200,192,2,-94603.57821708999,,,,
0.0,6961,100.0,19300,193,2,-94523.43455934,,,,
0.0,6995,100.0,19400,194,2,-94602.34361707,,,,
0.0,7030,100.0,19500,195,2,-94537.15450832,,,,
0.0,7068,100.0,19600,196,2,-94525.64158809,,,,
0.0,7104,100.0,19700,197,2,-94611.01478543,,,,
0.0,7142,100.0,19800,198,2,-94569.81282441001,,,,
0.0,7179,100.0,19900,199,2,-94627.65890629002,,,,
0.0,7214,100.0,20000,200,2,-94621.70395914,,,,
0.0,7252,100.0,20100,201,2,-94658.40558902,,,,
0.0,7289,100.0,20200,202,2,-94776.33186872998,,,,
0.0,7324,100.0,20300,203,2,-94827.87488324998,,,,
0.0,7361,100.0,20400,204,2,-94864.25104632,,,,
0.0,7397,100.0,20500,205,2,-94804.09838941999,,,,
0.0,7434,100.0,20600,206,2,-94716.69270056002,,,,
0.0,7471,100.0,20700,207,2,-94556.00329312004,,,,
0.0,7507,100.0,20800,208,2,-94525.35036046003,,,,
0.0,7545,100.0,20900,209,2,-94524.05731875003,,,,
0.0,7580,100.0,21000,210,2,-94512.14624238001,,,,
0.0,7617,100.0,21100,211,2,-94500.67551392002,,,,
0.0,7652,100.0,21200,212,2,-94504.05040479,,,,
0.0,7686,100.0,21300,213,2,-94469.28791259002,,,,
0.0,7724,100.0,21400,214,2,-94538.83482021,,,,
0.0,7759,100.0,21500,215,2,-94546.47347052999,,,,
0.0,7795,100.0,21600,216,2,-94539.43625688,,,,
0.0,7831,100.0,21700,217,2,-94527.12688723,,,,
0.0,7868,100.0,21800,218,2,-94560.85862617001,,,,
0.0,7905,100.0,21900,219,2,-94471.43737595002,,,,
0.0,7939,100.0,22000,220,2,-94468.59661489,,,,
0.0,7976,100.0,22100,221,2,-94479.49006301,,,,
0.0,8011,100.0,22200,222,2,-94473.87938354998,,,,
0.0,8047,100.0,22300,223,2,-94474.88261661997,,,,
0.0,8083,100.0,22400,224,2,-94517.23715984999,,,,
0.0,8119,100.0,22500,225,2,-94631.07827320999,,,,
0.0,8156,100.0,22600,226,2,-94670.92914612999,,,,
0.0,8193,100.0,22700,227,2,-94707.43510906,,,,
0.0,8229,100.0,22800,228,2,-94698.60412888,,,,
0.0,8266,100.0,22900,229,2,-94619.63465096001,,,,
0.0,8302,100.0,23000,230,2,-94692.33204447999,,,,
0.0,8338,100.0,23100,231,2,-94660.69762276,,,,
0.0,8372,100.0,23200,232,2,-94673.17061998999,,,,
0.0,8409,100.0,23300,233,2,-94746.92585502997,,,,
0.0,8444,100.0,23400,234,2,-94642.67773396999,,,,
0.0,8480,100.0,23500,235,2,-94728.53232613999,,,,
0.0,8517,100.0,23600,236,2,-94709.25141289001,,,,
0.0,8552,100.0,23700,237,2,-94711.17146704001,,,,
0.0,8588,100.0,23800,238,2,-94690.25983738001,,,,
0.0,8624,100.0,23900,239,2,-94673.79340900002,,,,
0.0,8661,100.0,24000,240,2,-94708.80794042001,,,,
0.0,8696,100.0,24100,241,2,-94630.07314902003,,,,
0.0,8730,100.0,24200,242,2,-94523.4998157,,,,
0.0,8766,100.0,24300,243,2,-94614.51924639002,,,,
0.0,8802,100.0,24400,244,2,-94614.75137188,,,,
0.0,8838,100.0,24500,245,2,-94525.42418255,,,,
0.0,8875,100.0,24600,246,2,-94531.81938353,,,,
0.0,8911,100.0,24700,247,2,-94546.56507992004,,,,
0.0,8947,100.0,24800,248,2,-94525.26611019,,,,
0.0,8982,100.0,24900,249,2,-94513.53728046002,,,,
0.0,9018,100.0,25000,250,2,-94497.02840003998,,,,
0.0,9055,100.0,25100,251,2,-94458.72480743998,,,,
0.0,9090,100.0,25200,252,2,-94462.88744911998,,,,
0.0,9124,100.0,25300,253,2,-94469.90366365998,,,,
0.0,9162,100.0,25400,254,2,-94404.39575426,,,,
0.0,9198,100.0,25500,255,2,-94381.5823985,,,,
0.0,9234,100.0,25600,256,2,-94335.4468073,,,,
0.0,9269,100.0,25700,257,2,-94347.13619575002,,,,
0.0,9306,100.0,25800,258,2,-94352.31744995,,,,
0.0,9346,100.0,25900,259,2,-94337.89539787998,,,,
0.0,9381,100.0,26000,260,2,-94346.20493394001,,,,
0.0,9416,100.0,26100,261,2,-94388.49684389,,,,
0.0,9455,100.0,26200,262,2,-94356.65653239,,,,
0.0,9492,100.0,26300,263,2,-94335.16758993999,,,,
0.0,9529,100.0,26400,264,2,-94340.70306534998,,,,
0.0,9564,100.0,26500,265,2,-94353.08001023,,,,
0.0,9600,100.0,26600,266,2,-94381.68025358,,,,
0.0,9636,100.0,26700,267,2,-94367.95489710997,,,,
0.0,9673,100.0,26800,268,2,-94363.31192417002,,,,
0.0,9709,100.0,26900,269,2,-94443.95313246002,,,,
0.0,9744,100.0,27000,270,2,-94318.45832344,,,,
0.0,9781,100.0,27100,271,2,-94306.55477537001,,,,
0.0,9817,100.0,27200,272,2,-94208.08457674,,,,
0.0,9855,100.0,27300,273,2,-94219.47560299,,,,
0.0,9892,100.0,27400,274,2,-94230.63629671,,,,
0.0,9929,100.0,27500,275,2,-94161.17214769,,,,
0.0,9964,100.0,27600,276,2,-94220.59640979,,,,
0.0,10001,100.0,27700,277,2,-94306.55456237,,,,
0.0,10038,100.0,27800,278,2,-94257.86945270999,,,,
0.0,10074,100.0,27900,279,2,-94183.42382873001,,,,
0.0,10108,100.0,28000,280,2,-94150.27383669002,,,,
0.0,10147,100.0,28100,281,2,-94235.63940021001,,,,
0.0,10183,100.0,28200,282,2,-94052.76509589002,,,,
0.0,10217,100.0,28300,283,2,-94004.91522352003,,,,
0.0,10255,100.0,28400,284,2,-94014.18182738998,,,,
0.0,10290,100.0,28500,285,2,-94016.89125553002,,,,
0.0,10326,100.0,28600,286,2,-93948.71159249,,,,
0.0,10361,100.0,28700,287,2,-93950.34781402003,,,,
0.0,10396,100.0,28800,288,2,-93994.09013367,,,,
0.0,10432,100.0,28900,289,2,-93891.65356325,,,,
0.0,10469,100.0,29000,290,2,-93858.29626688999,,,,
0.0,10502,100.0,29100,291,2,-93850.90837097999,,,,
0.0,10538,100.0,29200,292,2,-93824.37238669001,,,,
0.0,10571,100.0,29300,293,2,-93862.73629505001,,,,
0.0,10607,100.0,29400,294,2,-93762.16266069002,,,,
0.0,10644,100.0,29500,295,2,-93859.56010078001,,,,
0.0,10680,100.0,29600,296,2,-93903.3256506,,,,
0.0,10716,100.0,29700,297,2,-93877.65215603002,,,,
0.0,10752,100.0,29800,298,2,-93892.26761683002,,,,
0.0,10789,100.0,29900,299,2,-93880.86836580002,,,,
0.0,10826,100.0,30000,300,2,-93883.41480684002,,,,
0.0,10861,100.0,30100,301,2,-93907.46417684002,,,,
0.0,10899,100.0,30200,302,2,-93819.97706835001,,,,
0.0,10933,100.0,30300,303,2,-93847.09986345003,,,,
0.0,10970,100.0,30400,304,2,-93857.84917841002,,,,
0.0,11007,100.0,30500,305,2,-93883.47961408002,,,,
0.0,11043,100.0,30600,306,2,-93956.83732094002,,,,
0.0,11079,100.0,30700,307,2,-94068.16560959998,,,,
0.0,11114,100.0,30800,308,2,-94085.44568893999,,,,
0.0,11150,100.0,30900,309,2,-94072.09676662,,,,
0.0,11185,100.0,31000,310,2,-94127.59647605,,,,
0.0,11220,100.0,31100,311,2,-94148.18381629999,,,,
0.0,11255,100.0,31200,312,2,-94149.96054328002,,,,
0.0,11290,100.0,31300,313,2,-94023.78706372,,,,
0.0,11327,100.0,31400,314,2,-94039.18014448001,,,,
0.0,11365,100.0,31500,315,2,-94012.99808834998,,,,
0.0,11400,100.0,31600,316,2,-93988.93010039,,,,
0.0,11438,100.0,31700,317,2,-94007.45272672997,,,,
0.0,11475,100.0,31800,318,2,-93901.953687,,,,
0.0,11512,100.0,31900,319,2,-93859.87391054998,,,,
0.0,11547,100.0,32000,320,2,-93887.42742582998,,,,
0.0,11584,100.0,32100,321,2,-93938.30295231,,,,
0.0,11620,100.0,32200,322,2,-93994.86849398998,,,,
0.0,11656,100.0,32300,323,2,-94015.58458326999,,,,
0.0,11690,100.0,32400,324,2,-94033.98447025,,,,
0.0,11725,100.0,32500,325,2,-94084.41596571002,,,,
0.0,11762,100.0,32600,326,2,-94063.67375911999,,,,
0.0,11797,100.0,32700,327,2,-94068.32980531,,,,
0.0,11834,100.0,32800,328,2,-94048.39591837,,,,
0.0,11872,100.0,32900,329,2,-94106.84796513,,,,
0.0,11909,100.0,33000,330,2,-94100.36738928001,,,,
0.0,11940,100.0,33100,331,2,-94143.33134178999,,,,
0.0,11976,100.0,33200,332,2,-94089.72695725,,,,
0.0,12012,100.0,33300,333,2,-94103.80899209999,,,,
0.0,12051,100.0,33400,334,2,-94122.05813765997,,,,
0.0,12085,100.0,33500,335,2,-94153.01793795997,,,,
0.0,12120,100.0,33600,336,2,-94173.69996238,,,,
0.0,12155,100.0,33700,337,2,-94244.38750246,,,,
0.0,12190,100.0,33800,338,2,-94276.89185172999,,,,
0.0,12227,100.0,33900,339,2,-94333.00603152999,,,,
0.0,12263,100.0,34000,340,2,-94335.65533752002,,,,
0.0,12299,100.0,34100,341,2,-94317.87339864,,,,
0.0,12334,100.0,34200,342,2,-94410.46381285999,,,,
0.0,12368,100.0,34300,343,2,-94387.94359703001,,,,
0.0,12405,100.0,34400,344,2,-94412.92903815997,,,,
0.0,12442,100.0,34500,345,2,-94386.41947762998,,,,
0.0,12476,100.0,34600,346,2,-94333.12297215,,,,
0.0,12510,100.0,34700,347,2,-94325.16393522,,,,
0.0,12546,100.0,34800,348,2,-94243.84548691001,,,,
0.0,12583,100.0,34900,349,2,-94230.90962989003,,,,
0.0,12621,100.0,35000,350,2,-94242.27280799001,,,,
0.0,12657,100.0,35100,351,2,-94225.1576523,,,,
0.0,12693,100.0,35200,352,2,-94286.37489243998,,,,
0.0,12731,100.0,35300,353,2,-94345.68644083999,,,,
0.0,12767,100.0,35400,354,2,-94400.89368592999,,,,
0.0,12805,100.0,35500,355,2,-94390.53090787998,,,,
0.0,12839,100.0,35600,356,2,-94451.07690531998,,,,
0.0,12878,100.0,35700,357,2,-94468.76223765998,,,,
0.0,12915,100.0,35800,358,2,-94414.20707309,,,,
0.0,12950,100.0,35900,359,2,-94362.09021649002,,,,
0.0,12987,100.0,36000,360,2,-94402.58898069002,,,,
0.0,13023,100.0,36100,361,2,-94349.00482608,,,,
0.0,13059,100.0,36200,362,2,-94375.72533838998,,,,
0.0,13096,100.0,36300,363,2,-94393.97340246997,,,,
0.0,13132,100.0,36400,364,2,-94362.32816402998,,,,
0.0,13167,100.0,36500,365,2,-94340.97661350999,,,,
0.0,13203,100.0,36600,366,2,-94340.49572704999,,,,
0.0,13240,100.0,36700,367,2,-94307.34502621999,,,,
0.0,13276,100.0,36800,368,2,-94221.30029569,,,,
0.0,13313,100.0,36900,369,2,-94135.25302783,,,,
0.0,13349,100.0,37000,370,2,-94274.61570115999,,,,
0.0,13386,100.0,37100,371,2,-94259.47782495,,,,
0.0,13422,100.0,37200,372,2,-94338.03052372999,,,,
0.0,13458,100.0,37300,373,2,-94291.26096325999,,,,
0.0,13493,100.0,37400,374,2,-94255.44515809002,,,,
0.0,13530,100.0,37500,375,2,-94291.82959409998,,,,
0.0,13566,100.0,37600,376,2,-94288.35123321999,,,,
0.0,13601,100.0,37700,377,2,-94236.56014117999,,,,
0.0,13636,100.0,37800,378,2,-94254.11230937998,,,,
0.0,13673,100.0,37900,379,2,-94262.47433120997,,,,
0.0,13709,100.0,38000,380,2,-94290.76299609,,,,
0.0,13745,100.0,38100,381,2,-94193.36850713001,,,,
0.0,13781,100.0,38200,382,2,-94274.47155823,,,,
0.0,13816,100.0,38300,383,2,-94258.55409359999,,,,
0.0,13853,100.0,38400,384,2,-94258.70554126,,,,
0.0,13888,100.0,38500,385,2,-94222.17716368,,,,
0.0,13925,100.0,38600,386,2,-94214.98408169998,,,,
0.0,13961,100.0,38700,387,2,-94114.95287388997,,,,
0.0,13996,100.0,38800,388,2,-94035.41119167999,,,,
0.0,14031,100.0,38900,389,2,-93993.26072562,,,,
0.0,14067,100.0,39000,390,2,-93988.78548747001,,,,
0.0,14103,100.0,39100,391,2,-93916.68005025003,,,,
0.0,14141,100.0,39200,392,2,-93936.40076804002,,,,
0.0,14174,100.0,39300,393,2,-93961.32132270002,,,,
0.0,14210,100.0,39400,394,2,-93974.63561367002,,,,
0.0,14244,100.0,39500,395,2,-93918.58770071002,,,,
0.0,14279,100.0,39600,396,2,-93943.92211175,,,,
0.0,14315,100.0,39700,397,2,-93942.64034354,,,,
0.0,14352,100.0,39800,398,2,-93954.70669735002,,,,
0.0,14387,100.0,39900,399,2,-93961.94075556,,,,
0.0,14424,100.0,40000,400,2,-93881.17371249,,,,
0.0,14459,100.0,40100,401,2,-93821.27351862,,,,
0.0,14495,100.0,40200,402,2,-93915.46854131999,,,,
0.0,14532,100.0,40300,403,2,-93815.56718418,,,,
0.0,14568,100.0,40400,404,2,-93786.06152324998,,,,
0.0,14604,100.0,40500,405,2,-93708.52828915,,,,
0.0,14641,100.0,40600,406,2,-93719.26932733001,,,,
0.0,14677,100.0,40700,407,2,-93676.55312449,,,,
0.0,14712,100.0,40800,408,2,-93652.67913871001,,,,
0.0,14746,100.0,40900,409,2,-93629.00786018999,,,,
0.0,14784,100.0,41000,410,2,-93606.97230996001,,,,
0.0,14820,100.0,41100,411,2,-93616.0532245,,,,
0.0,14855,100.0,41200,412,2,-93596.44054541,,,,
0.0,14892,100.0,41300,413,2,-93622.55936591,,,,
0.0,14928,100.0,41400,414,2,-93601.75099776001,,,,
0.0,14963,100.0,41500,415,2,-93578.4834845,,,,
0.0,15000,100.0,41600,416,2,-93607.76164353998,,,,
0.0,15034,100.0,41700,417,2,-93653.14645845996,,,,
0.0,15071,100.0,41800,418,2,-93685.08817847999,,,,
0.0,15107,100.0,41900,419,2,-93628.14644845002,,,,
0.0,15143,100.0,42000,420,2,-93643.97126588001,,,,
0.0,15177,100.0,42100,421,2,-93685.83655483002,,,,
0.0,15211,100.0,42200,422,2,-93764.53726873001,,,,
0.0,15246,100.0,42300,423,2,-93724.04738454001,,,,
0.0,15281,100.0,42400,424,2,-93697.51912592,,,,
0.0,15317,100.0,42500,425,2,-93648.78390529998,,,,
0.0,15353,100.0,42600,426,2,-93731.61871726,,,,
0.0,15389,100.0,42700,427,2,-93687.79263937,,,,
0.0,15426,100.0,42800,428,2,-93731.0798018,,,,
0.0,15461,100.0,42900,429,2,-93711.31851730001,,,,
0.0,15498,100.0,43000,430,2,-93690.32564621001,,,,
0.0,15536,100.0,43100,431,2,-93678.90557534,,,,
0.0,15573,100.0,43200,432,2,-93760.79932644,,,,
0.0,15607,100.0,43300,433,2,-93752.58864373999,,,,
0.0,15642,100.0,43400,434,2,-93743.07482358,,,,
0.0,15678,100.0,43500,435,2,-93785.55625563,,,,
0.0,15712,100.0,43600,436,2,-93836.99478918001,,,,
0.0,15748,100.0,43700,437,2,-93804.51016077999,,,,
0.0,15783,100.0,43800,438,2,-93724.31559802998,,,,
0.0,15819,100.0,43900,439,2,-93663.92873401,,,,
0.0,15855,100.0,44000,440,2,-93721.39365323998,,,,
0.0,15892,100.0,44100,441,2,-93780.46837738999,,,,
0.0,15927,100.0,44200,442,2,-93725.95979624,,,,
0.0,15962,100.0,44300,443,2,-93720.94180837,,,,
0.0,15998,100.0,44400,444,2,-93715.01089486999,,,,
0.0,16036,100.0,44500,445,2,-93794.95597171,,,,
0.0,16070,100.0,44600,446,2,-93759.32847333001,,,,
0.0,16106,100.0,44700,447,2,-93711.30763551,,,,
0.0,16141,100.0,44800,448,2,-93754.66894353002,,,,
0.0,16178,100.0,44900,449,2,-93780.90452215001,,,,
0.0,16213,100.0,45000,450,2,-93780.75043488003,,,,
0.0,16248,100.0,45100,451,2,-93858.72132944001,,,,
